Name,Description,Price,brand,amount,imgUrl,type
Adidas UltraBoost 21,Prototype after prototype. Innovation after innovation. Testing after testing.,229,Adidas,3,"https://assets.adidas.com/images/w_600,f_auto,q_auto/505cb4b72c8c4af7811fab5701116553_9366/Ultraboost_20_x_James_Bond_Shoes_Black_FY0646.jpg",shoes
Adidas UltraBoost 21 Tokyo,Prototype after prototype. Innovation after innovation. Testing after testing,165,Adidas,15,"https://assets.adidas.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy,c_fill,g_auto/1672d1dfc618433ba542ab5701116025_9366/Ultraboost_20_x_James_Bond_Shoes_Black_FY0646_01_standard.jpg",shoes
Adidas Duramo SL,From lifting to boxing to bootcamp classes. These adidas training shoes keep you comfortable,279,Adidas,1,"https://assets.adidas.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy,c_fill,g_auto/1672d1dfc618433ba542ab5701116025_9366/Ultraboost_20_x_James_Bond_Shoes_Black_FY0646_01_standard.jpg",shoes
Adidas Response SR,HIGH-PERFORMANCE RUNNING SHOES FOR JAMES BOND FANS.,54,Adidas,13,"https://assets.adidas.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy,c_fill,g_auto/1672d1dfc618433ba542ab5701116025_9366/Ultraboost_20_x_James_Bond_Shoes_Black_FY0646_01_standard.jpg",shoes
Adidas Ultraboost DNA x LEGO® Colors,Prototype after prototype. Innovation after innovation. ,206,Adidas,12,"https://assets.adidas.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy,c_fill,g_auto/1672d1dfc618433ba542ab5701116025_9366/Ultraboost_20_x_James_Bond_Shoes_Black_FY0646_01_standard.jpg",shoes
Adidas Ultraboost 20 x James Bond,Prototype after prototype. Innovation after innovation.,288,Adidas,13,"https://assets.adidas.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy,c_fill,g_auto/1672d1dfc618433ba542ab5701116025_9366/Ultraboost_20_x_James_Bond_Shoes_Black_FY0646_01_standard.jpg",shoes
Nike Air Max Dawn,"Rooted to athletics DNA, the Air Max Dawn is made from at least 20% recycled material by weight.",62,Nike,15,"https://static.nike.com/a/images/t_PDP_864_v1/f_auto,b_rgb:f5f5f5/a492d797-cd0a-487d-98c8-d3416c587f35/air-max-dawn-shoe-gq9GGH.png",shoes
Nike Blazer Low X,"Praised by the streets for classic simplicity and comfort, the must-have wardrobe staple just got re-imagined",91,Nike,27,"https://static.nike.com/a/images/t_PDP_864_v1/f_auto,b_rgb:f5f5f5/9c1bee74-830c-4c1c-b46b-dc0c0b5210bb/blazer-low-shoes-PmgCt4.png",shoes
Nike Lebron 19,LeBron thrives when stakes are high and the pressure's on.The LeBron 19 harnesses that energy with a locked-in fit and an updated cushioning system,225,Nike,23,"https://static.nike.com/a/images/t_PDP_864_v1/f_auto,b_rgb:f5f5f5/798aa8a4-8a00-44e1-8858-63ee057bbdc0/lebron-19-basketball-shoe-5dpw6F.png",shoes
Nike Air Max 90  Court Purple,Expect the unexpected from the Air Max 90. Made up of a bevy of colourways since its launch over three decades ago,224,Nike,8,"https://static.nike.com/a/images/t_prod_ss/w_640,c_limit,f_auto/79f58537-5c21-4fb6-9463-35a2c7ad501b/air-max-90-court-purple-release-date.jpg",shoes
Puma Suede Classic XXI Men's Sneakers,The Suede hit the scene in 1968 and has been changing the game ever since.,129,Puma,9,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/374915/01/sv01/fnd/PNA/fmt/png/Suede-Classic-XXI-Men's-Sneakers",shoes
